Regular Season,Sun,3-Nov-13,FedExField,Washington Redskins,San Diego Chargers,30,24,500,410,80115
Regular Season,Sun,3-Nov-13,MetLife Stadium,New York Jets,New Orleans Saints,26,20,338,407,76957
Regular Season,Sun,3-Nov-13,Bank of America Stadium,Carolina Panthers,Atlanta Falcons,34,10,373,289,73720
Regular Season,Sun,3-Nov-13,Reliant Stadium,Indianapolis Colts,Houston Texans,27,24,314,483,71778
Regular Season,Sun,3-Nov-13,FirstEnergy Stadium,Cleveland Browns,Baltimore Ravens,24,18,315,278,71513
Regular Season,Sun,3-Nov-13,Gillette Stadium,New England Patriots,Pittsburgh Steelers,55,31,610,479,68756
Regular Season,Sun,3-Nov-13,Ralph Wilson Stadium,Kansas City Chiefs,Buffalo Bills,23,13,210,470,68159
Regular Season,Sun,3-Nov-13,CenturyLink Field,Seattle Seahawks,Tampa Bay Buccaneers,27,24,415,350,67873
Regular Season,Sun,3-Nov-13,Edward Jones Dome,Tennessee Titans,St. Louis Rams,28,21,363,363,54617
Regular Season,Sun,3-Nov-13,O.co Coliseum,Philadelphia Eagles,Oakland Raiders,49,20,542,560,51751
Regular Season,Mon,4-Nov-13,Lambeau Field,Chicago Bears,Green Bay Packers,27,20,442,312,78122
Regular Season,Thu,7-Nov-13,Mall of America Field,Minnesota Vikings,Washington Redskins,34,27,307,433,64011
Regular Season,Sun,10-Nov-13,MetLife Stadium,New York Giants,Oakland Raiders,24,20,251,213,80366
Regular Season,Sun,10-Nov-13,Lambeau Field,Philadelphia Eagles,Green Bay Packers,27,13,415,396,78011
Regular Season,Sun,10-Nov-13,Louisiana Superdome,New Orleans Saints,Dallas Cowboys,49,17,625,193,73018
Regular Season,Sun,10-Nov-13,M&T Bank Stadium,Baltimore Ravens,Cincinnati Bengals,20,17,189,364,70992
Regular Season,Sun,10-Nov-13,Georgia Dome,Seattle Seahawks,Atlanta Falcons,33,10,490,226,70309
Regular Season,Sun,10-Nov-13,Candlestick Park,Carolina Panthers,San Francisco 49ers,10,9,250,151,69732
Regular Season,Sun,10-Nov-13,LP Field,Jacksonville Jaguars,Tennessee Titans,29,27,214,362,69143
Regular Season,Sun,10-Nov-13,Qualcomm Stadium,Denver Broncos,San Diego Chargers,28,20,397,329,68847
Regular Season,Sun,10-Nov-13,Lucas Oil Stadium,St. Louis Rams,Indianapolis Colts,38,8,372,406,66004
Regular Season,Sun,10-Nov-13,Soldier Field,Detroit Lions,Chicago Bears,21,19,364,338,62431
Regular Season,Sun,10-Nov-13,University of Phoenix Stadium,Arizona Cardinals,Houston Texans,27,24,332,235,60845
Regular Season,Sun,10-Nov-13,Heinz Field,Pittsburgh Steelers,Buffalo Bills,23,10,300,227,60406
Regular Season,Mon,11-Nov-13,Raymond James Stadium,Tampa Bay Buccaneers,Miami Dolphins,22,19,264,213,64448
Regular Season,Thu,14-Nov-13,LP Field,Indianapolis Colts,Tennessee Titans,30,27,366,340,69143
Regular Season,Sun,17-Nov-13,MetLife Stadium,New York Giants,Green Bay Packers,27,13,334,394,79114
Regular Season,Sun,17-Nov-13,Sports Authority Field at Mile High,Denver Broncos,Kansas City Chiefs,27,17,427,344,77076
Regular Season,Sun,17-Nov-13,Louisiana Superdome,New Orleans Saints,San Francisco 49ers,23,20,387,196,73025
Regular Season,Sun,17-Nov-13,Reliant Stadium,Oakland Raiders,Houston Texans,28,23,341,394,71726
Regular Season,Sun,17-Nov-13,Lincoln Financial Field,Philadelphia Eagles,Washington Redskins,24,16,402,427,69144
Regular Season,Sun,17-Nov-13,CenturyLink Field,Seattle Seahawks,Minnesota Vikings,41,20,323,336,68235
Regular Season,Sun,17-Nov-13,Ralph Wilson Stadium,Buffalo Bills,New York Jets,37,14,313,267,68036
